type,name,x,y,pitch
map_size,,70,43,
start_point,SP1,1,6,
start_point,SP2,1,9,
start_point,SP3,1,12,
start_point,SP4,1,15,
start_point,SP5,1,18,
start_point,SP6,1,21,
start_point,SP7,1,24,
start_point,SP8,1,27,
start_point,SP9,1,30,
start_point,SP10,1,33,
start_point,SP11,1,36,
start_point,SP12,1,39,
start_point,SP13,70,6,
start_point,SP14,70,9,
start_point,SP15,70,12,
start_point,SP16,70,15,
start_point,SP17,70,18,
start_point,SP18,70,21,
start_point,SP19,70,24,
start_point,SP20,70,27,
start_point,SP21,70,30,
start_point,SP22,70,33,
start_point,SP23,70,36,
start_point,SP24,70,39,
end_point,EP1,22,9,
end_point,EP2,22,12,
end_point,EP3,22,15,
end_point,EP4,22,18,
end_point,EP5,22,21,
end_point,EP6,22,24,
end_point,EP7,22,27,
end_point,EP8,22,30,
end_point,EP9,22,33,
end_point,EP10,22,36,
end_point,EP11,25,9,
end_point,EP12,25,12,
end_point,EP13,25,15,
end_point,EP14,25,18,
end_point,EP15,25,21,
end_point,EP16,25,24,
end_point,EP17,25,27,
end_point,EP18,25,30,
end_point,EP19,25,33,
end_point,EP20,25,36,
end_point,EP21,28,9,
end_point,EP22,28,12,
end_point,EP23,28,15,
end_point,EP24,28,18,
end_point,EP25,28,21,
end_point,EP26,28,24,
end_point,EP27,28,27,
end_point,EP28,28,30,
end_point,EP29,28,33,
end_point,EP30,28,36,
end_point,EP31,31,9,
end_point,EP32,31,12,
end_point,EP33,31,15,
end_point,EP34,31,18,
end_point,EP35,31,21,
end_point,EP36,31,24,
end_point,EP37,31,27,
end_point,EP38,31,30,
end_point,EP39,31,33,
end_point,EP40,31,36,
end_point,EP41,34,9,
end_point,EP42,34,12,
end_point,EP43,34,15,
end_point,EP44,34,18,
end_point,EP45,34,21,
end_point,EP46,34,24,
end_point,EP47,34,27,
end_point,EP48,34,30,
end_point,EP49,34,33,
end_point,EP50,34,36,
end_point,EP51,37,9,
end_point,EP52,37,12,
end_point,EP53,37,15,
end_point,EP54,37,18,
end_point,EP55,37,21,
end_point,EP56,37,24,
end_point,EP57,37,27,
end_point,EP58,37,30,
end_point,EP59,37,33,
end_point,EP60,37,36,
end_point,EP61,40,9,
end_point,EP62,40,12,
end_point,EP63,40,15,
end_point,EP64,40,18,
end_point,EP65,40,21,
end_point,EP66,40,24,
end_point,EP67,40,27,
end_point,EP68,40,30,
end_point,EP69,40,33,
end_point,EP70,40,36,
end_point,EP71,43,9,
end_point,EP72,43,12,
end_point,EP73,43,15,
end_point,EP74,43,18,
end_point,EP75,43,21,
end_point,EP76,43,24,
end_point,EP77,43,27,
end_point,EP78,43,30,
end_point,EP79,43,33,
end_point,EP80,43,36,
end_point,EP81,46,9,
end_point,EP82,46,12,
end_point,EP83,46,15,
end_point,EP84,46,18,
end_point,EP85,46,21,
end_point,EP86,46,24,
end_point,EP87,46,27,
end_point,EP88,46,30,
end_point,EP89,46,33,
end_point,EP90,46,36,
end_point,EP91,49,9,
end_point,EP92,49,12,
end_point,EP93,49,15,
end_point,EP94,49,18,
end_point,EP95,49,21,
end_point,EP96,49,24,
end_point,EP97,49,27,
end_point,EP98,49,30,
end_point,EP99,49,33,
end_point,EP100,49,36,
agv,AGV1,11,1,90
agv,AGV2,12,1,90
agv,AGV3,13,1,90
agv,AGV4,14,1,90
agv,AGV5,15,1,90
agv,AGV6,16,1,90
agv,AGV7,17,1,90
agv,AGV8,18,1,90
agv,AGV9,19,1,90
agv,AGV10,20,1,90
agv,AGV11,21,1,90
agv,AGV12,22,1,90
agv,AGV13,23,1,90
agv,AGV14,24,1,90
agv,AGV15,25,1,90
agv,AGV16,26,1,90
agv,AGV17,27,1,90
agv,AGV18,28,1,90
agv,AGV19,29,1,90
agv,AGV20,30,1,90
agv,AGV21,31,1,90
agv,AGV22,32,1,90
agv,AGV23,33,1,90
agv,AGV24,34,1,90
agv,AGV25,35,1,90
agv,AGV26,36,1,90
agv,AGV27,37,1,90
agv,AGV28,38,1,90
agv,AGV29,39,1,90
agv,AGV30,40,1,90
agv,AGV31,41,1,90
agv,AGV32,42,1,90
agv,AGV33,43,1,90
agv,AGV34,44,1,90
agv,AGV35,45,1,90
agv,AGV36,46,1,90
agv,AGV37,47,1,90
agv,AGV38,48,1,90
agv,AGV39,49,1,90
agv,AGV40,50,1,90
agv,AGV41,51,1,90
agv,AGV42,52,1,90
agv,AGV43,53,1,90
agv,AGV44,54,1,90
agv,AGV45,55,1,90
agv,AGV46,56,1,90
agv,AGV47,57,1,90
agv,AGV48,58,1,90
agv,AGV49,59,1,90
agv,AGV50,60,1,90
agv,AGV51,11,3,90
agv,AGV52,12,3,90
agv,AGV53,13,3,90
agv,AGV54,14,3,90
agv,AGV55,15,3,90
agv,AGV56,16,3,90
agv,AGV57,17,3,90
agv,AGV58,18,3,90
agv,AGV59,19,3,90
agv,AGV60,20,3,90
agv,AGV61,21,3,90
agv,AGV62,22,3,90
agv,AGV63,23,3,90
agv,AGV64,24,3,90
agv,AGV65,25,3,90
agv,AGV66,26,3,90
agv,AGV67,27,3,90
agv,AGV68,28,3,90
agv,AGV69,29,3,90
agv,AGV70,30,3,90
agv,AGV71,31,3,90
agv,AGV72,32,3,90
agv,AGV73,33,3,90
agv,AGV74,34,3,90
agv,AGV75,35,3,90
agv,AGV76,36,3,90
agv,AGV77,37,3,90
agv,AGV78,38,3,90
agv,AGV79,39,3,90
agv,AGV80,40,3,90
agv,AGV81,41,3,90
agv,AGV82,42,3,90
agv,AGV83,43,3,90
agv,AGV84,44,3,90
agv,AGV85,45,3,90
agv,AGV86,46,3,90
agv,AGV87,47,3,90
agv,AGV88,48,3,90
agv,AGV89,49,3,90
agv,AGV90,50,3,90
agv,AGV91,51,3,90
agv,AGV92,52,3,90
agv,AGV93,53,3,90
agv,AGV94,54,3,90
agv,AGV95,55,3,90
agv,AGV96,56,3,90
agv,AGV97,57,3,90
agv,AGV98,58,3,90
agv,AGV99,59,3,90
agv,AGV100,60,3,90
agv,AGV101,11,41,270
agv,AGV102,12,41,270
agv,AGV103,13,41,270
agv,AGV104,14,41,270
agv,AGV105,15,41,270
agv,AGV106,16,41,270
agv,AGV107,17,41,270
agv,AGV108,18,41,270
agv,AGV109,19,41,270
agv,AGV110,20,41,270
agv,AGV111,21,41,270
agv,AGV112,22,41,270
agv,AGV113,23,41,270
agv,AGV114,24,41,270
agv,AGV115,25,41,270
agv,AGV116,26,41,270
agv,AGV117,27,41,270
agv,AGV118,28,41,270
agv,AGV119,29,41,270
agv,AGV120,30,41,270
agv,AGV121,31,41,270
agv,AGV122,32,41,270
agv,AGV123,33,41,270
agv,AGV124,34,41,270
agv,AGV125,35,41,270
agv,AGV126,36,41,270
agv,AGV127,37,41,270
agv,AGV128,38,41,270
agv,AGV129,39,41,270
agv,AGV130,40,41,270
agv,AGV131,41,41,270
agv,AGV132,42,41,270
agv,AGV133,43,41,270
agv,AGV134,44,41,270
agv,AGV135,45,41,270
agv,AGV136,46,41,270
agv,AGV137,47,41,270
agv,AGV138,48,41,270
agv,AGV139,49,41,270
agv,AGV140,50,41,270
agv,AGV141,51,41,270
agv,AGV142,52,41,270
agv,AGV143,53,41,270
agv,AGV144,54,41,270
agv,AGV145,55,41,270
agv,AGV146,56,41,270
agv,AGV147,57,41,270
agv,AGV148,58,41,270
agv,AGV149,59,41,270
agv,AGV150,60,41,270
agv,AGV151,11,43,270
agv,AGV152,12,43,270
agv,AGV153,13,43,270
agv,AGV154,14,43,270
agv,AGV155,15,43,270
agv,AGV156,16,43,270
agv,AGV157,17,43,270
agv,AGV158,18,43,270
agv,AGV159,19,43,270
agv,AGV160,20,43,270
agv,AGV161,21,43,270
agv,AGV162,22,43,270
agv,AGV163,23,43,270
agv,AGV164,24,43,270
agv,AGV165,25,43,270
agv,AGV166,26,43,270
agv,AGV167,27,43,270
agv,AGV168,28,43,270
agv,AGV169,29,43,270
agv,AGV170,30,43,270
agv,AGV171,31,43,270
agv,AGV172,32,43,270
agv,AGV173,33,43,270
agv,AGV174,34,43,270
agv,AGV175,35,43,270
agv,AGV176,36,43,270
agv,AGV177,37,43,270
agv,AGV178,38,43,270
agv,AGV179,39,43,270
agv,AGV180,40,43,270
agv,AGV181,41,43,270
agv,AGV182,42,43,270
agv,AGV183,43,43,270
agv,AGV184,44,43,270
agv,AGV185,45,43,270
agv,AGV186,46,43,270
agv,AGV187,47,43,270
agv,AGV188,48,43,270
agv,AGV189,49,43,270
agv,AGV190,50,43,270
agv,AGV191,51,43,270
agv,AGV192,52,43,270
agv,AGV193,53,43,270
agv,AGV194,54,43,270
agv,AGV195,55,43,270
agv,AGV196,56,43,270
agv,AGV197,57,43,270
agv,AGV198,58,43,270
agv,AGV199,59,43,270
agv,AGV200,60,43,270
